,from,to
1557,899,323
1555,899,49
1556,899,174
1737,900,162
1736,900,126
1757,901,131
1864,902,559
1862,902,390
1860,902,102
1861,902,179
1863,902,504
1865,903,350
2150,904,313
2151,904,314
2149,904,310
2640,905,196
2641,906,43
2767,907,314
2972,908,356
2973,909,184
3094,910,449
3228,911,218
3230,912,449
3229,912,178
3239,913,72
3282,914,614
3280,914,97
3281,914,375
3286,915,453
3285,915,145
3284,915,11
3287,916,145
3576,917,443
31,918,285
246,919,467
569,920,131
570,920,325
622,921,525
744,922,93
746,923,136
747,923,601
745,923,98
857,924,449
1251,925,543
1506,926,241
1503,926,138
1505,926,219
1504,926,216
1533,927,607
1532,927,128
1534,928,392
1535,928,503
1634,929,164
1635,930,369
2157,931,184
2158,931,189
2159,932,350
2185,933,206
2267,934,549
2310,935,171
2925,936,241
3016,937,170
3023,938,322
3189,939,271
3481,940,118
3482,940,209
3535,941,137
3690,942,549
3689,942,146
236,943,373
510,944,300
511,944,459
512,944,499
515,945,249
782,946,579
783,947,364
788,948,484
829,949,200
1219,950,450
1218,950,102
1229,951,151
1233,951,660
1232,951,490
1231,951,400
1230,951,229
1831,952,271
1845,953,99
1846,953,541
1844,953,68
2334,954,707
2333,954,214
2338,955,444
2339,956,255
2601,957,418
2603,958,395
2610,959,148
2748,960,186
2747,960,112
2749,961,263
3124,962,657
3316,963,114
3348,964,344
3347,964,47
430,965,368
3548,966,300
3549,967,162
3551,968,314
3552,968,416
123,969,394
124,970,424
128,971,222
240,972,334
297,973,156
344,974,569
346,975,596
345,975,595
473,976,495
472,976,269
1011,977,174
1234,978,493
1245,979,216
1246,979,518
1247,980,383
1297,981,319
1431,982,369
1430,982,77
1432,983,211
1434,984,433
1433,984,244
1442,985,107
1439,985,61
1437,985,24
1440,985,87
1438,985,49
1441,985,98
1443,985,174
1445,986,219
1444,986,128
1603,987,298
1633,988,222
1654,989,545
1653,989,302
1657,990,222
1656,990,214
1660,991,337
1668,992,418
1820,993,425
1867,994,135
2067,995,102
2068,995,559
2070,996,150
2211,997,247
2210,997,222
2212,997,446
2209,997,174
2775,998,210
2837,999,128
3121,1000,322
3120,1000,65
3119,1000,24
3122,1001,131
3144,1002,78
3145,1002,104
3196,1003,525
3248,1004,151
3250,1004,590
3249,1004,269
3261,1005,441
3295,1006,208
3294,1006,201
3455,1007,63
420,1008,323
421,1008,476
419,1008,189
423,1009,659
424,1010,294
619,1011,215
626,1012,148
821,1013,530
820,1013,459
910,1014,112
911,1015,178
912,1015,644
938,1016,495
937,1016,454
942,1017,240
944,1017,269
949,1017,442
939,1017,227
946,1017,330
940,1017,229
943,1017,243
950,1017,559
947,1017,351
948,1017,390
945,1017,275
941,1017,232
951,1018,229
1680,1019,344
1751,1020,483
1750,1020,6
1786,1021,98
1785,1021,87
1783,1021,52
1789,1021,518
1788,1021,188
1782,1021,24
1787,1021,174
1784,1021,61
1790,1022,353
1873,1023,148
1872,1023,128
1874,1023,174
1875,1023,219
1876,1023,222
2166,1024,184
2167,1024,264
2168,1025,313
2169,1026,365
2170,1027,365
2171,1028,702
2195,1029,707
2447,1030,121
2505,1031,85
2509,1032,145
2510,1033,171
2511,1034,263
2669,1035,337
2931,1036,133
3245,1037,17
3247,1037,458
3246,1037,52
3298,1038,257
3297,1038,34
3638,1039,160
110,1040,277
156,1041,734
155,1041,424
258,1042,371
261,1043,99
264,1044,645
263,1044,610
262,1044,604
301,1045,734
687,1046,308
851,1047,159
850,1047,43
854,1047,344
853,1047,234
849,1047,29
852,1047,188
971,1048,293
985,1049,461
986,1049,693
987,1050,135
988,1050,445
1147,1051,261
1155,1052,162
1352,1053,174
1354,1053,616
1353,1053,249
1351,1053,49
1360,1054,466
1359,1054,418
1429,1055,482
1459,1056,117
1460,1057,352
1461,1058,124
1462,1058,490
1463,1058,504
1466,1059,288
1818,1060,432
2019,1061,144
2029,1062,686
2028,1062,184
2126,1063,316
2125,1063,9
2198,1064,174
2199,1065,147
2220,1066,408
2371,1067,402
2373,1068,282
2378,1069,265
2426,1070,72
2433,1071,72
2645,1072,462
2651,1073,729
2805,1074,379
2806,1075,418
2807,1075,466
3326,1076,462
3343,1077,353
3386,1078,63
3518,1079,264
3519,1080,653
9,1081,550
37,1082,222
38,1083,174
43,1084,174
44,1084,519
42,1084,135
78,1085,155
286,1086,135
289,1087,429
288,1087,381
290,1087,439
287,1087,162
291,1087,530
402,1088,590
408,1089,559
407,1089,412
405,1089,251
404,1089,102
406,1089,390
414,1090,610
413,1090,288
415,1091,288
434,1092,756
647,1093,308
739,1094,126
927,1095,734
928,1096,461
1179,1097,29
1384,1098,448
1655,1099,302
1658,1100,513
1672,1101,365
1673,1101,762
1792,1102,288
1793,1103,412
1794,1104,82
1796,1105,82
2588,1106,40
2654,1107,402
2655,1107,499
2762,1108,479
2816,1109,621
2815,1109,184
2817,1110,98
2818,1110,595
2820,1111,445
2819,1111,323
2823,1112,395
2822,1112,214
2825,1113,266
2824,1113,211
2984,1114,249
2985,1115,24
2986,1115,61
2988,1115,174
2987,1115,98
2989,1115,418
2990,1115,595
3056,1116,449
3123,1117,141
129,1118,244
130,1118,365
136,1119,298
137,1120,484
283,1121,175
281,1121,49
284,1121,222
285,1121,493
282,1121,174
322,1122,178
353,1123,450
357,1124,496
901,1125,226
1049,1126,29
1050,1126,231
1051,1126,328
1052,1126,344
1083,1127,69
1085,1128,69
1135,1129,300
1186,1130,336
1187,1131,370
1189,1132,422
1188,1132,370
1199,1133,276
1370,1134,264
1369,1134,184
1371,1135,98
1372,1135,323
1373,1135,365
1374,1136,381
1487,1137,525
1568,1138,135
1722,1139,516
1726,1140,730
1924,1141,660
1923,1141,124
2556,1142,36
2555,1142,29
2557,1142,202
2732,1143,300
2744,1144,394
2743,1144,369
2897,1145,445
2901,1146,423
2902,1147,466
2951,1148,514
3087,1149,178
3135,1150,440
3134,1150,419
3138,1151,49
3140,1151,569
3139,1151,395
3143,1152,1
3262,1153,122
3266,1154,156
3613,1155,407
7,1156,126
8,1156,225
168,1157,314
625,1158,222
624,1158,214
627,1159,168
809,1160,644
865,1161,493
864,1161,466
869,1162,622
871,1163,395
1012,1164,85
1014,1165,92
1639,1166,791
1719,1167,153
1724,1168,116
1725,1168,308
1815,1169,286
1817,1169,562
1816,1169,332
1979,1170,361
1980,1170,479
2196,1171,588
2377,1172,272
2376,1172,118
2389,1173,655
2437,1174,285
2438,1174,472
2440,1175,573
2530,1176,178
2531,1176,299
2536,1177,178
2593,1178,321
2592,1178,26
2595,1179,151
2594,1179,108
2598,1180,682
2597,1180,500
3100,1181,92
3274,1182,196
3293,1183,298
3327,1184,159
3499,1185,621
3500,1185,622
3501,1186,395
3502,1187,83
3507,1188,900
3506,1188,596
3508,1189,616
3509,1189,702
4,1190,174
5,1190,523
6,1190,611
109,1191,209
112,1192,284
114,1193,156
115,1194,330
116,1195,284
305,1196,331
675,1197,254
740,1198,75
903,1199,381
909,1200,322
913,1201,518
1082,1202,206
1091,1203,47
1092,1203,130
1112,1204,329
1184,1205,104
1183,1205,78
1282,1206,894
1361,1207,223
1376,1208,146
1417,1209,298
1539,1210,239
1538,1211,278
1547,1212,258
1548,1212,403
1546,1212,118
1545,1212,71
1549,1213,647
1729,1214,87
1728,1214,29
1733,1215,446
1731,1215,175
1732,1215,418
1991,1216,133
1994,1216,244
1993,1216,203
1989,1216,61
1992,1216,162
1990,1216,98
2251,1217,256
2332,1218,72
2443,1219,87
2442,1219,29
2693,1220,921
2692,1220,894
2714,1221,596
2715,1221,611
2713,1221,464
2716,1221,662
2723,1222,419
2962,1223,518
2961,1223,466
3059,1224,255
3107,1225,200
3217,1226,323
3692,1227,131
3699,1228,44
3701,1229,67
142,1230,471
256,1231,659
384,1232,466
436,1233,394
599,1234,441
629,1235,785
630,1236,568
631,1237,460
632,1237,535
634,1238,174
637,1239,704
636,1239,520
635,1239,200
727,1240,397
729,1241,121
794,1242,82
796,1243,604
795,1243,288
953,1244,164
984,1245,437
1290,1246,63
1676,1247,107
1675,1247,98
1677,1247,174
1674,1247,80
1685,1248,472
1715,1249,336
1716,1249,504
1752,1250,50
1935,1251,785
2066,1252,141
2192,1253,532
2620,1254,294
2618,1254,80
2619,1254,98
2939,1255,636
2938,1255,544
3052,1256,325
3084,1257,24
3136,1258,753
3315,1259,322
3320,1260,174
3321,1260,381
3324,1260,894
3323,1260,466
3322,1260,395
3325,1261,135
3490,1262,590
3495,1263,821
3744,1264,174
153,1265,443
226,1266,358
348,1267,175
347,1267,174
350,1268,306
349,1268,283
398,1269,116
460,1270,80
461,1270,168
462,1270,711
508,1271,286
506,1271,138
507,1271,241
517,1272,52
516,1272,47
564,1273,216
565,1273,392
563,1273,181
566,1273,658
608,1274,444
662,1275,322
665,1276,261
664,1276,222
669,1277,659
667,1277,77
668,1277,336
863,1278,65
